name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
Lian Li Uni Fan SL-Infinity 3-Pack,0.4919868819998764,0.4210526315789473,Black,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,84.0
Lian Li Uni Fan SL-Infinity 3-Pack,0.4919868819998764,0.4210526315789473,Black,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,83.9
Corsair iCUE SP120 RGB ELITE 3-Pack,0.3434193428624467,0.4210526315789473,Black / White,0.0961538461538461,0.0041659917874238,0.3119468851377357,True,59.99
Lian Li Uni Fan SL-Infinity 3-Pack,0.4913681084091332,0.4210526315789473,White,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,84.0
Lian Li Uni Fan SL-Infinity 3-Pack,0.4913681084091332,0.4210526315789473,White,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,83.9
Noctua NF-A12x25 PWM chromax.black.swap,0.1884784357403626,0.4210526315789473,Black,0.1314102564102564,0.0004923106260614,0.2707692307692308,True,34.95
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.4210526315789473,Black,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,29.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.4210526315789473,Black,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,26.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.4210526315789473,Black,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,29.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.4210526315789473,Black,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,29.99
Lian Li UNI FAN SL V2 3-Pack,0.4857372687333705,0.4210526315789473,White / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,82.99
Lian Li UNI FAN SL V2 3-Pack,0.4857372687333705,0.4210526315789473,White / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,77.99
ARCTIC P12 PST 5-Pack,0.1887259451766599,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.2692307692307692,True,34.99
Lian Li UNI FAN SL-INF Reverse Blade,0.1932429923890848,0.4210526315789473,White / Black,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,35.72
Lian Li UNI FAN SL-INF Reverse Blade,0.1932429923890848,0.4210526315789473,White / Black,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,29.99
Lian Li UNI FAN SL-INF Reverse Blade,0.1932429923890848,0.4210526315789473,White / Black,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,29.85
Lian Li UNI FAN SL-INF Reverse Blade,0.1932429923890848,0.4210526315789473,White / Black,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,29.18
Lian Li Uni Fan SL-Infinity,0.1392240579172081,0.4210526315789473,White,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,29.99
Lian Li Uni Fan SL-Infinity,0.1392240579172081,0.4210526315789473,White,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,26.99
Lian Li Uni Fan SL-Infinity,0.1392240579172081,0.4210526315789473,White,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,29.99
Lian Li Uni Fan SL-Infinity,0.1392240579172081,0.4210526315789473,White,0.1548014621644285,0.0005027230689479,0.3119468851377357,True,29.99
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,0.7456221768454924,0.4210526315789473,Black,0.158974358974359,0.0041659917874238,0.3119468851377357,True,124.99
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,0.7456221768454924,0.4210526315789473,Black,0.158974358974359,0.0041659917874238,0.3119468851377357,True,159.99
Lian Li UNI FAN SL-INF Reverse Blade,0.1577872656395025,0.4210526315789473,White,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,35.72
Lian Li UNI FAN SL-INF Reverse Blade,0.1577872656395025,0.4210526315789473,White,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,29.99
Lian Li UNI FAN SL-INF Reverse Blade,0.1577872656395025,0.4210526315789473,White,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,29.85
Lian Li UNI FAN SL-INF Reverse Blade,0.1577872656395025,0.4210526315789473,White,0.1217948717948718,0.0005225153157569,0.4153846153846154,True,29.18
Lian Li UNI FAN SL V2 3-Pack,0.4547985891962132,0.4210526315789473,Black / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,82.99
Lian Li UNI FAN SL V2 3-Pack,0.4547985891962132,0.4210526315789473,Black / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,77.99
Thermalright TL-C12C X3 3-Pack,0.0458511230740672,0.4210526315789473,Black,0.173076923076923,0.0005446310002347,0.316923076923077,True,11.9
NZXT F120 RGB 3-Pack,0.4507146834973084,0.4210526315789473,White,0.1217948717948718,0.0041659917874238,0.3119468851377357,True,77.33
NZXT F120 RGB 3-Pack,0.4507146834973084,0.4210526315789473,White,0.1217948717948718,0.0041659917874238,0.3119468851377357,True,77.33
NZXT F120 RGB Core,0.1715145297809216,0.4210526315789473,White,0.1217948717948718,0.000653832570672,0.4443076923076923,True,32.20846315789474
NZXT F120 RGB Core,0.1715145297809216,0.4210526315789473,White,0.1217948717948718,0.000653832570672,0.4443076923076923,True,32.20846315789474
Noctua A14 PWM chromax.black.swap,0.1389765484809108,0.5263157894736842,Multicolor,0.0897435897435897,0.0006853280590724,0.3015384615384616,True,26.95
ARCTIC P12,0.0278448115834416,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.3119468851377357,True,8.99
ARCTIC P12,0.0278448115834416,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.3119468851377357,True,8.49
ARCTIC P12,0.0278448115834416,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.3119468851377357,True,9.47
ARCTIC P12,0.0278448115834416,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.3119468851377357,True,12.46
ARCTIC P12,0.0278448115834416,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.3119468851377357,True,10.99
ARCTIC P12,0.0278448115834416,0.4210526315789473,Black,0.1025641025641025,0.0004596964454501,0.3119468851377357,True,11.34
Thermalright TL-C12C-S X3 3-Pack,0.0563083967576263,0.4210526315789473,Black,0.173076923076923,0.0005446310002347,0.316923076923077,True,13.59
Noctua A12x25 PWM,0.1761029639254997,0.4210526315789473,Brown,0.1314102564102564,0.0041659917874238,0.3119468851377357,True,32.95
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,0.962192933605594,0.4210526315789473,White,0.158974358974359,0.0041659917874238,0.3119468851377357,True,124.99
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,0.962192933605594,0.4210526315789473,White,0.158974358974359,0.0041659917874238,0.3119468851377357,True,159.99
Deepcool FC120-3 IN 1 3-Pack,0.1887259451766599,0.4210526315789473,Black,0.1217948717948718,0.0005079723170146,0.3538461538461538,True,34.99
Corsair ML120 PRO 3-Pack,1.0,0.4210526315789473,Black / White,0.1025641025641025,0.0003822485231541,0.3076923076923077,True,166.1
NZXT F120 RGB 3-Pack,0.4507146834973084,0.4210526315789473,Black,0.1217948717948718,0.0041659917874238,0.3119468851377357,True,77.33
NZXT F120 RGB 3-Pack,0.4507146834973084,0.4210526315789473,Black,0.1217948717948718,0.0041659917874238,0.3119468851377357,True,77.33
be quiet! Silent Wings Pro 4,0.1448548975929707,0.4210526315789473,Black,0.358974358974359,0.0006972034071578,0.4907692307692308,True,27.9
be quiet! Silent Wings Pro 4,0.1448548975929707,0.4210526315789473,Black,0.358974358974359,0.0006972034071578,0.4907692307692308,True,27.9
be quiet! Silent Wings Pro 4,0.1448548975929707,0.4210526315789473,Black,0.358974358974359,0.0006972034071578,0.4907692307692308,True,32.9
be quiet! Silent Wings Pro 4,0.1448548975929707,0.4210526315789473,Black,0.358974358974359,0.0006972034071578,0.4907692307692308,True,33.9
ARCTIC P12 Max,0.0340325474908731,0.4210526315789473,Black,0.1987179487179487,0.0006725921785171,0.3119468851377357,True,9.99
ARCTIC P12 Max,0.0340325474908731,0.4210526315789473,Black,0.1987179487179487,0.0006725921785171,0.3119468851377357,True,14.49
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,Black,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,29.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,Black,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,26.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,Black,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,29.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,Black,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,29.99
Thermalright TL-C12CW-S X3 3-Pack,0.0538333023946537,0.4210526315789473,White,0.173076923076923,0.0005446310002347,0.316923076923077,True,13.19
Noctua P12 redux-1700 PWM,0.0709114534991646,0.4210526315789473,Gray,0.1121794871794872,0.0005840433873587,0.3092307692307692,True,15.95
NZXT F120 RGB Core,0.1715145297809216,0.4210526315789473,Black,0.1217948717948718,0.000653832570672,0.4443076923076923,True,32.20846315789474
NZXT F120 RGB Core,0.1715145297809216,0.4210526315789473,Black,0.1217948717948718,0.000653832570672,0.4443076923076923,True,32.20846315789474
Noctua A14 PWM,0.1204133407586164,0.5263157894736842,Brown,0.0897435897435897,0.0592013639095435,0.3119468851377357,True,23.95
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,White,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,29.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,White,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,26.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,White,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,29.99
Lian Li Uni Fan SL-Infinity,0.1577872656395025,0.5263157894736842,White,0.0897435897435897,0.0006008237705228,0.3538461538461538,True,29.99
ARCTIC P12 Max 5-Pack,0.1949136810840913,0.4210526315789473,Black,0.1987179487179487,0.0006725921785171,0.3119468851377357,True,35.99
Corsair iCUE AR120 Digital RGB 3-Pack,0.2506033042509746,0.4210526315789473,Black,0.1185897435897435,6.780135330778355e-05,0.3119468851377357,True,44.99
Corsair iCUE AR120 Digital RGB 3-Pack,0.2506033042509746,0.4210526315789473,Black,0.1185897435897435,6.780135330778355e-05,0.3119468851377357,True,44.99
Corsair iCUE SP120 RGB ELITE,0.0958480292061135,0.4210526315789473,Black / White,0.0961538461538461,0.0041659917874238,0.3119468851377357,True,19.98
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,7.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,18.62
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,9.9
be quiet! Pure Wings 2,0.0334756512592042,0.4210526315789473,Black,0.1025641025641025,0.0004182790176712,0.2338461538461538,True,10.9
Corsair iCUE AF120 RGB ELITE 3-Pack,0.444341315512654,0.4210526315789473,Black,0.1442307692307692,0.0041659917874238,0.3119468851377357,True,76.3
Corsair iCUE AF120 RGB ELITE 3-Pack,0.444341315512654,0.4210526315789473,Black,0.1442307692307692,0.0041659917874238,0.3119468851377357,True,89.99
Thermalright TL-C12B-S V3 X3 3-Pack,0.0767279252521502,0.4210526315789473,Black,0.1666666666666666,0.0005446310002347,0.316923076923077,True,16.89
Deepcool FK120 3-Pack,0.1577872656395025,0.4210526315789473,Unknown,0.125,0.0005688980158874,0.3538461538461538,True,29.99
ARCTIC P14 PST,0.0525957552131675,0.5263157894736842,Black,0.0961538461538461,0.0006016843029927,0.2692307692307692,True,12.99
ARCTIC P14 PST,0.0525957552131675,0.5263157894736842,Black,0.0961538461538461,0.0006016843029927,0.2692307692307692,True,12.99
ARCTIC P14 PST,0.0525957552131675,0.5263157894736842,Black,0.0961538461538461,0.0006016843029927,0.2692307692307692,True,12.99
be quiet! Silent Wings Pro 4,0.1448548975929707,0.5263157894736842,Black,0.282051282051282,0.0008134613438488,0.4892307692307692,True,27.9
be quiet! Silent Wings Pro 4,0.1448548975929707,0.5263157894736842,Black,0.282051282051282,0.0008134613438488,0.4892307692307692,True,27.9
be quiet! Silent Wings Pro 4,0.1448548975929707,0.5263157894736842,Black,0.282051282051282,0.0008134613438488,0.4892307692307692,True,32.9
be quiet! Silent Wings Pro 4,0.1448548975929707,0.5263157894736842,Black,0.282051282051282,0.0008134613438488,0.4892307692307692,True,33.9
Lian Li UNI FAN SL V2,0.1392240579172081,0.4210526315789473,Black / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,26.99
Lian Li UNI FAN SL V2,0.1392240579172081,0.4210526315789473,Black / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,26.99
Lian Li UNI FAN SL V2,0.1392240579172081,0.4210526315789473,Black / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,34.98
Lian Li UNI FAN SL V2,0.1392240579172081,0.4210526315789473,Black / Silver,0.1185897435897435,0.0005302601079864,0.3723076923076923,True,29.99
Thermalright TL-C12C-S,0.1715145297809216,0.4210526315789473,Black,0.173076923076923,0.0005446310002347,0.316923076923077,True,32.20846315789474
Lian Li UNI FAN SL-INF Reverse Blade,0.1569209826124621,0.5263157894736842,Black / White,0.0897435897435897,0.0005913579133533,0.3630769230769231,True,35.72
Lian Li UNI FAN SL-INF Reverse Blade,0.1569209826124621,0.5263157894736842,Black / White,0.0897435897435897,0.0005913579133533,0.3630769230769231,True,29.99
