name,id,details_link,bus_interface,memory_size_(mb),base_clock_(mhz),original_tdp_w,performance_score,price,performance_per_dollar,tdp_w,estimated_release_year,original_price
GeForce RTX 4090,rk4606,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090&id=4606,PCIe 4.0 x16,0.4893617021276595,0.936526255049048,450.0,1.0,0.5170246913580248,17.857043371681662,450.0,2022.0,2153.94
GeForce RTX 4080,rk4622,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080&id=4622,PCIe 4.0 x16,0.3191489361702128,0.3624309898473199,320.0,0.8920115441732747,0.3550814814814814,23.10239174404401,320.0,2022.0,1498.07
GeForce RTX 4080 SUPER,rk4984,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080+SUPER&id=4984,PCIe 4.0 x16,0.3191489361702128,0.9740334679746104,320.0,0.8812799462019109,0.2320987654320987,34.22634226342264,320.0,2022.0,999.99
GeForce RTX 4070 Ti,rk4699,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti&id=4699,PCIe 4.0 x16,0.2340425531914893,0.9826889786497404,285.0,0.8127154025049734,0.2024691358024691,36.11291037398152,285.0,2022.0,879.99
GeForce RTX 4070 Ti SUPER,rk4980,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti+SUPER&id=4980,PCIe 4.0 x16,0.3191489361702128,1.0,285.0,0.8123511446103842,0.3093777777777778,24.19400290943433,285.0,2022.0,1312.97
GeForce RTX 4070 SUPER,rk4973,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+SUPER&id=4973,PCIe 4.0 x16,0.2340425531914893,0.7922677437968839,220.0,0.7646333604191767,0.1333333333333333,50.10583509725162,220.0,2022.0,599.99
GeForce RTX 3090 Ti,rk4524,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090+Ti&id=4524,PCIe 4.0 x16,0.4893617021276595,0.5499134448932487,450.0,0.7523886911933648,0.3948172839506172,17.85774562989753,450.0,2020.0,1659.0
GeForce RTX 3080 Ti,rk4409,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti&id=4409,PCIe 4.0 x16,0.2340425531914893,0.4402769763416041,350.0,0.6804897867690325,0.2753012345679012,23.03057125348948,350.0,2020.0,1174.96
GeForce RTX 4070,rk4795,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070&id=4795,PCIe 4.0 x16,0.2340425531914893,0.7576457010963646,200.0,0.6771834458796828,0.1160493827160493,50.834921413611575,200.0,2022.0,529.99
GeForce RTX 3090,rk4284,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090&id=4284,PCIe 4.0 x16,0.4893617021276595,0.4575879976918637,350.0,0.6707388831292554,0.4986765432098765,12.844592547712814,350.0,2020.0,2079.63
GeForce RTX 3080 12GB,rk4601,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+12GB&id=4601,PCIe 4.0 x16,0.2340425531914893,0.3768032313906519,350.0,0.6688055143041273,0.1766403185292074,25.21618437044656,350.0,2020.0,775.38329004329
GeForce RTX 3080,rk4282,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080&id=4282,PCIe 4.0 x16,0.1914893617021276,0.48066935949221,320.0,0.628260808652526,0.2272765432098765,25.698141688595147,320.0,2020.0,980.46
