name,price,socket,form_factor,max_memory_gb,memory_slots,color,memory_type,storage_support,estimated_release_year,original_price
MSI B650 GAMING PLUS WIFI,0.0283521230585239,AM5,ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,169.99
Asus ROG STRIX B650-A GAMING WIFI,0.0360845202563031,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,199.99
MSI B550 GAMING GEN3,0.0103098629303723,AM4,ATX,128,4,Black,DDR4,SATA Only,2020.0,99.99
MSI MAG B650 TOMAHAWK WIFI,0.0360845202563031,AM5,ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,199.99
Gigabyte B650 GAMING X AX,0.030929588791117,AM5,ATX,192,4,Black / Gray,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,179.99
Asus PRIME B550M-A WIFI II,0.0115985957966688,AM4,MICRO ATX,128,4,Blue / Silver,DDR4,SATA Only,2020.0,104.99
ASRock B650M Pro RS WiFi,0.0231971915933377,AM5,MICRO ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,149.99
ASRock B660M Pro RS,0.0090211300640757,LGA1700,MICRO ATX,128,4,Gray / Black,Unknown,SATA Only,2021.0,94.99
MSI PRO B650M-P,0.0154647943955585,AM5,MICRO ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,119.99
MSI MAG X670E TOMAHAWK WIFI,0.0515493146518617,AM5,ATX,192,4,Black,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,259.99
MSI MAG B550 TOMAHAWK MAX WIFI,0.0257746573259308,AM4,ATX,128,4,Silver / Black,DDR4,SATA Only,2020.0,159.99
Asus ROG STRIX B550-F GAMING WIFI II,0.0335070545237101,AM4,ATX,128,4,Black / Red,DDR4,SATA Only,2020.0,189.99
MSI PRO B650M-A WIFI,0.0250014176061529,AM5,MICRO ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,156.99
ASRock B650I Lightning Wifi,0.0360845202563031,AM5,MINI ITX,96,2,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,199.99
MSI B550M PRO-VDH WIFI,0.0103098629303723,AM4,MICRO ATX,128,4,Black,DDR4,SATA Only,2020.0,99.99
MSI PRO B650-S WIFI,0.0206197258607446,AM5,ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,139.99
Gigabyte B650 EAGLE AX,0.0283521230585239,AM5,ATX,192,4,Gray / Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,169.99
Asus ROG STRIX B650E-F GAMING WIFI,0.0515493146518617,AM5,ATX,192,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,259.99
Gigabyte B650 AORUS ELITE AX ICE,0.0438169174540824,AM5,ATX,192,4,Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,229.99
Gigabyte B650 AORUS ELITE AX,0.0360845202563031,AM5,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,199.99
Gigabyte B550M K,0.0090211300640757,AM4,MICRO ATX,128,4,Brown / Silver,DDR4,SATA Only,2020.0,94.99
Gigabyte X670E AORUS PRO X,0.061859177582234,AM5,ATX,192,4,White / Silver,DDR5,"PCIe 5.0 NVMe, PCIe 4.0 NVMe, SATA",2022.0,299.99
MSI PRO B550M-VC WIFI,0.0145781461835464,AM4,MICRO ATX,128,4,Black,DDR4,SATA Only,2020.0,116.55
Asus TUF GAMING B650-PLUS WIFI,0.0360845202563031,AM5,ATX,128,4,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,199.99
Gigabyte B550 UD AC,0.0103098629303723,AM4,ATX,128,4,Brown / Black,DDR4,SATA Only,2020.0,99.99
Asus ROG STRIX B650E-I GAMING WIFI,0.061859177582234,AM5,MINI ITX,96,2,Black,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,299.99
MSI B550-A PRO,0.0128873286629654,AM4,ATX,128,4,Black / Silver,DDR4,SATA Only,2020.0,109.99
ASRock B650M Pro RS,0.0193309929944481,AM5,MICRO ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2022.0,134.99
MSI PRO Z690-A WIFI,0.0231971915933377,LGA1700,ATX,192,4,Black / Silver,DDR5,"PCIe 4.0 NVMe, SATA",2021.0,149.99
ASRock B550M Pro4,0.0103098629303723,AM4,MICRO ATX,128,4,Silver / Black,DDR4,SATA Only,2020.0,99.99
Asus TUF GAMING B550-PLUS WIFI II,0.0190758238869214,AM4,ATX,128,4,Black / Gray,DDR4,SATA Only,2020.0,134.0
