name,id,details_link,price,average_mark,database_operations,read_cached_mbps,read_uncached_mbps,write_mbps,latency,threaded_mbps,memory_size_gb,original_price
Chun Well Technology Holding Limited D4U0840140B 8GB,rk19640,https://www.memorybenchmark.net/ram.php?ram=Chun+Well+Technology+Holding+Limited+D4U0840140B+8GB&id=19640,0.1890551527136892,0.9275147928994084,7322.0,35957.0,29420.0,23956.0,0.1011235955056179,0.2116548715371863,8,124.96513513513514
Team Group Inc. TOMGROUP-UD4-4200 8GB,rk16110,https://www.memorybenchmark.net/ram.php?ram=Team+Group+Inc.+TOMGROUP-UD4-4200+8GB&id=16110,0.1890551527136892,0.8097633136094675,9616.0,36737.0,29376.0,21568.0,0.1235955056179775,0.2284435594836128,8,124.96513513513514
Galaxy Microsystems Ltd. D4U0840185B 8GB,rk19853,https://www.memorybenchmark.net/ram.php?ram=Galaxy+Microsystems+Ltd.+D4U0840185B+8GB&id=19853,0.1890551527136892,1.0,12988.0,40899.0,29311.0,22494.0,0.0786516853932584,0.2349289239742464,8,124.96513513513514
G Skill Intl F4-3800C13-8GTZN 8GB,rk16234,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3800C13-8GTZN+8GB&id=16234,0.1890551527136892,0.8662721893491123,10085.0,36935.0,28979.0,22048.0,0.1292134831460674,0.2164120578000479,8,124.96513513513514
G Skill Intl F4-4000C14-16GVK 16GB,rk17084,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C14-16GVK+16GB&id=17084,0.1890551527136892,0.9713017751479288,12357.0,37501.0,28052.0,23164.0,0.0955056179775281,0.2168534946299679,16,124.96513513513514
Acer BL.9BWWR.228 8GB,rk22007,https://www.memorybenchmark.net/ram.php?ram=Acer+BL.9BWWR.228+8GB&id=22007,0.1890551527136892,0.8863905325443786,9429.0,36982.0,27969.0,20977.0,0.1179775280898876,0.200741050337887,8,124.96513513513514
G Skill Intl F4-4000C16-16GTEG 16GB,rk19854,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C16-16GTEG+16GB&id=19854,0.1890551527136892,0.8535502958579881,8192.0,35949.0,27867.0,21321.0,0.1179775280898876,0.1875167299862403,16,124.96513513513514
G Skill Intl F4-3600C14-16GTZNA 16GB,rk17255,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C14-16GTZNA+16GB&id=17255,0.1890551527136892,0.8174556213017752,9663.0,36780.0,27306.0,20334.0,0.1404494382022472,0.1962562399913591,16,124.96513513513514
Corsair CMT32GX4M2Z3600C14 16GB,rk18029,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX4M2Z3600C14+16GB&id=18029,0.1890551527136892,0.8402366863905324,7535.0,35424.0,27278.0,20587.0,0.1179775280898876,0.1911515396283477,16,124.96513513513514
G Skill Intl F4-4000C14-8GTZN 8GB,rk17732,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C14-8GTZN+8GB&id=17732,0.1890551527136892,0.8434911242603549,8933.0,36161.0,27143.0,20015.0,0.1235955056179775,0.2023800019723773,8,124.96513513513514
G Skill Intl F4-3600C14-8GTRSA 8GB,rk18647,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C14-8GTRSA+8GB&id=18647,0.1890551527136892,0.7745562130177515,8553.0,35020.0,27028.0,19255.0,0.1348314606741573,0.198829722787063,8,124.96513513513514
Corsair CMT16GX4M2Z3600C14 8GB,rk19855,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2Z3600C14+8GB&id=19855,0.1890551527136892,0.6680473372781066,5341.0,35236.0,26892.0,17897.0,0.1348314606741573,0.1743722439548983,8,124.96513513513514
G Skill Intl F4-4000C16-16GVKA 16GB,rk16858,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C16-16GVKA+16GB&id=16858,0.1890551527136892,0.8701183431952662,10085.0,37167.0,26841.0,20087.0,0.1179775280898876,0.192569772847878,16,124.96513513513514
Asgard VMA49UG-AMC1U2AV3 8GB,rk19221,https://www.memorybenchmark.net/ram.php?ram=Asgard+VMA49UG-AMC1U2AV3+8GB&id=19221,0.1890551527136892,0.7263313609467454,6917.0,35155.0,26813.0,18225.0,0.146067415730337,0.1801860609276748,8,124.96513513513514
Chun Well Technology Holding Limited D4U0836161B 8GB,rk20115,https://www.memorybenchmark.net/ram.php?ram=Chun+Well+Technology+Holding+Limited+D4U0836161B+8GB&id=20115,0.1890551527136892,0.7014792899408284,5316.0,34798.0,26741.0,16779.0,0.1404494382022472,0.1692487590459329,8,124.96513513513514
G Skill Intl F4-4000C14-16GTZN 16GB,rk17317,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4000C14-16GTZN+16GB&id=17317,0.1890551527136892,0.7872781065088756,8845.0,36234.0,26729.0,20167.0,0.146067415730337,0.1988250266505745,16,124.96513513513514
Hewlett-Packard 54N63AA# 16GB,rk20156,https://www.memorybenchmark.net/ram.php?ram=Hewlett-Packard+54N63AA%23+16GB&id=20156,0.1890551527136892,0.8017751479289941,7095.0,35912.0,26692.0,19009.0,0.1292134831460674,0.1717236229753782,16,124.96513513513514
Hewlett-Packard 48U41AA# 8GB,rk23618,https://www.memorybenchmark.net/ram.php?ram=Hewlett-Packard+48U41AA%23+8GB&id=23618,0.1890551527136892,0.794378698224852,6580.0,34279.0,26685.0,18654.0,0.1292134831460674,0.1653274850780263,8,124.96513513513514
G Skill Intl F4-3600C14-16GVKA 16GB,rk16743,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C14-16GVKA+16GB&id=16743,0.1890551527136892,0.8911242603550296,9095.0,36285.0,26614.0,20330.0,0.1067415730337078,0.1973833127486017,16,124.96513513513514
