name,id,details_link,price,drive_size_gb,rating_per_dollar,overall_rank,last_price_change,average_rating,drive_size__gb,interface_type,price_per_gb,original_price
Crucial T705 4TB Gen5 M.2,rk37494,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial%20T705%204TB%20Gen5%20M.2&id=37494,0.4504978885355299,0.2177374593417087,0.1771779301623295,3,449.99 USD (2024-11-25),78387,3600.0,PCIe 5.0 NVMe,2.068995798414898,449.99
Corsair MP700 PRO SE,rk38876,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20MP700%20PRO%20SE&id=38876,0.1465248156124764,0.2177374593417087,0.2453236082190752,5,Unknown,77626,3600.0,SATA,0.6729426165597261,158.46462441314551
NVMe T-FORCE TM8FFL002T,rk41291,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20T-FORCE%20TM8FFL002T&id=41291,0.1465248156124764,0.1077317895616365,0.2453236082190752,6,Unknown,77364,1800.0,PCIe (Unknown Gen) NVMe,1.3600889413300363,158.46462441314551
Corsair MP700 PRO SE,rk40026,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20MP700%20PRO%20SE&id=40026,0.1465248156124764,0.1077317895616365,0.2453236082190752,7,Unknown,77281,1800.0,SATA,1.3600889413300363,158.46462441314551
Crucial T705 2TB Gen5 M.2 SSD,rk37527,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial%20T705%202TB%20Gen5%20M.2%20SSD&id=37527,0.2753245399092852,0.1077317895616365,0.2804517753769337,8,281.99 USD (2024-12-12),75835,1800.0,PCIe 5.0 NVMe,2.555648068500376,281.99
MSI M580 2TB,rk38057,https://www.harddrivebenchmark.net/hdd.php?hdd=MSI%20M580%202TB&id=38057,0.1465248156124764,0.1077317895616365,0.2453236082190752,9,Unknown,74873,1800.0,SATA,1.3600889413300363,158.46462441314551
Fanxiang S900Pro 2TB,rk40253,https://www.harddrivebenchmark.net/hdd.php?hdd=Fanxiang%20S900Pro%202TB&id=40253,0.1465248156124764,0.1077317895616365,0.2453236082190752,10,Unknown,74788,1800.0,SATA,1.3600889413300363,158.46462441314551
Sabrent SB-RKT5-2TB,rk39750,https://www.harddrivebenchmark.net/hdd.php?hdd=Sabrent%20SB-RKT5-2TB&id=39750,0.1465248156124764,0.1077317895616365,0.2453236082190752,11,Unknown,74755,1800.0,SATA,1.3600889413300363,158.46462441314551
Crucial T705 2TB Gen5 with heatsink,rk37769,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial%20T705%202TB%20Gen5%20with%20heatsink&id=37769,0.1465248156124764,0.1077317895616365,0.2453236082190752,12,Unknown,73319,1800.0,PCIe 5.0 NVMe,1.3600889413300363,158.46462441314551
T-FORCE TM8FFS004T,rk39196,https://www.harddrivebenchmark.net/hdd.php?hdd=T-FORCE%20TM8FFS004T&id=39196,0.1465248156124764,0.2177374593417087,0.2453236082190752,13,Unknown,73104,3600.0,SATA,0.6729426165597261,158.46462441314551
GIGABYTE AORUS Gen5 12000 2TB,rk35983,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20AORUS%20Gen5%2012000%202TB&id=35983,0.2576716542411761,0.1077317895616365,0.2871891591352601,14,265.06 USD (2025-01-14),72920,1800.0,PCIe 5.0 NVMe,2.39178848963383,265.06
Crucial T700 4TB Gen5,rk34762,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial%20T700%204TB%20Gen5&id=34762,0.4444606641989468,0.2177374593417087,0.1647497465304654,15,444.2 USD (2024-12-18),72314,3600.0,PCIe 5.0 NVMe,2.041268716658568,444.2
Corsair MP700 PRO 2TB,rk36460,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20MP700%20PRO%202TB&id=36460,0.1465248156124764,0.1077317895616365,0.2453236082190752,16,Unknown,71682,1800.0,SATA,1.3600889413300363,158.46462441314551
Crucial T700 2TB,rk34572,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial%20T700%202TB&id=34572,0.2211042177154476,0.1077317895616365,0.3256729207321727,17,229.99 USD (2024-12-29),71391,1800.0,SATA,2.052358162944536,229.99
Corsair MP700 PRO 4TB,rk37679,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20MP700%20PRO%204TB&id=37679,0.6486106042437829,0.2177374593417087,0.1065335179391019,20,639.99 USD (2025-01-04),70018,3600.0,SATA,2.978865493354906,639.99
Crucial T700 4TB Gen5 with heatsink,rk35079,https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial%20T700%204TB%20Gen5%20with%20heatsink&id=35079,0.5026328137219124,0.2177374593417087,0.1395990275491403,21,499.99 USD (2023-10-31),69861,3600.0,PCIe 5.0 NVMe,2.3084351918201635,499.99
